IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2007-0915,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1039,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1093,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1097,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1173,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1373,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1397,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1399,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1465,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1587,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1666,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1675,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1687,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1722,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1731,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1770,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1795,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1796,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1866,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-1868,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2101,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2173,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2282,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2321,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2323,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2355,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2387,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2390,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2434,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2488,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2489,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2500,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2533,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2564,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2584,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2616,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2633,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2712,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2714,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2763,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2791,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2810,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2848,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2849,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2850,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2881,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2924,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-2954,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3154,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3155,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3181,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3193,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3208,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3232,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3263,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3264,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3277,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3334,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3363,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3454,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3455,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3483,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3624,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3629,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3803,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3824,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3927,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-3993,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4050,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4219,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4221,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4223,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4241,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4473,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4490,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4689,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4691,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4703,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4704,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4747,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-4880,HIGH,10,11.74580977,,,,,,,,,,,,
